,user,id,text,created_at,clean_text,polarity,subjectivity,sentiment,neg,neu,pos,compound,topic_id,topic
15,@naa_two,684716367363215361,"@rahulkanwal The reason to sack him as the face of the campaign is nt the point, the sacking is. Many more deserving faces to promote India.",2016-01-06 12:41:18+00:00,the reason to sack him as the face of the campaign is nt the point the sacking is many more deserving faces to promote india,0.5333333333333333,0.6,positive,0.0,0.902,0.098,0.3818,0,Cricket
16,@naa_two,662256996859650049,"RT @c_aashish: Phew! Bihar polls over. Tolerance levels in India multiply manifold. Until Feb-Mar 2016, when TN, WB, Assam, &amp; Kerala polls …",2015-11-05 13:15:46+00:00,phew bihar polls over tolerance levels in india multiply manifold until feb mar 2016 when tn wb assam amp kerala polls,0.0,0.0,positive,0.0,0.901,0.099,0.296,2,Opposition
17,@naa_two,658263730308825088,Talent to hai bande mein! #RohitSharma #IndvSA,2015-10-25 12:47:57+00:00,talent to hai bande mein rohitsharma indvsa,0.0,0.0,positive,0.0,0.682,0.318,0.4215,1,Modi
18,@naa_two,658262162981281792,RT @shaktinarang1: Chasing se pehle talent ki high dose lete hue Rohit Sharma https://t.co/7uVdx6fAaj,2015-10-25 12:41:44+00:00,chasing se pehle talent ki high dose lete hue rohit sharma,0.16,0.5399999999999999,positive,0.0,0.781,0.219,0.4215,2,Opposition
19,@naa_two,658257475259338752,"And you'd miss the likes of Yuvi too, here. This present line up just doesn't inspire confidence in you to keep up the optimism. #IndvSA",2015-10-25 12:23:06+00:00,and you d miss the likes of yuvi too here this present line up just doesn t inspire confidence in you to keep up the optimism indvsa,0.0,0.0,positive,0.046,0.573,0.381,0.9136,1,Modi
20,@naa_two,658157542955085824,"RT @BeninCitizen: HELP ME I CAN'T STOP!
Narcissism: You look good in the clothes your mum washed.",2015-10-25 05:46:00+00:00,help me i can t stop narcissism you look good in the clothes your mum washed,0.7,0.6000000000000001,positive,0.117,0.585,0.298,0.5267,0,Cricket
21,@naa_two,658157368543281152,"RT @BeninCitizen: Mansplaining- your mum does the washing. You tell her how best to do the washing.
You have never done the washing.",2015-10-25 05:45:19+00:00,mansplaining your mum does the washing you tell her how best to do the washing you have never done the washing,1.0,0.3,positive,0.0,0.826,0.174,0.6369,2,Opposition
22,@naa_two,658157333860581376,"RT @BeninCitizen: Mis-genderism: ""cheers dude"" you say, as your mum does the washing. She tells you she's not a dude. ""Whatever dude"", you …",2015-10-25 05:45:11+00:00,mis genderism cheers dude you say as your mum does the washing she tells you she s not a dude whatever dude you,0.0,0.0,positive,0.0,0.866,0.134,0.4767,1,Modi
23,@naa_two,658157295608594432,"RT @BeninCitizen: Mis-genderism: ""cheers dude"" you say, as your mum does the washing. She tells you she's not a dude. ""Whatever dude"", you …",2015-10-25 05:45:01+00:00,mis genderism cheers dude you say as your mum does the washing she tells you she s not a dude whatever dude you,0.0,0.0,positive,0.0,0.866,0.134,0.4767,1,Modi
24,@naa_two,658157183742308352,RT @BeninCitizen: Geekism: your mum does the washing and the cosplay outfit. You build a robot that plays chess and cricket. You sell robot…,2015-10-25 05:44:35+00:00,geekism your mum does the washing and the cosplay outfit you build a robot that plays chess and cricket you sell robot,0.0,0.0,positive,0.0,0.909,0.091,0.25,0,Cricket
25,@naa_two,658157003668230144,RT @BeninCitizen: Matriarchy: your mum does the washing. You do the washing.  you are really happy pilling your weight in the house,2015-10-25 05:43:52+00:00,matriarchy your mum does the washing you do the washing you are really happy pilling your weight in the house,0.8,1.0,positive,0.0,0.826,0.174,0.6115,0,Cricket
26,@naa_two,658156962786336768,RT @BeninCitizen: Religion: your mum does the washing. You thank god.,2015-10-25 05:43:42+00:00,religion your mum does the washing you thank god,0.0,0.0,positive,0.0,0.603,0.397,0.5574,2,Opposition
27,@naa_two,658156952309010432,RT @BeninCitizen: Libertarianism: your mum does the washing. You believe you did it.,2015-10-25 05:43:40+00:00,libertarianism your mum does the washing you believe you did it,0.0,0.0,positive,0.0,0.877,0.123,0.1027,1,Modi
28,@naa_two,658156135589920768,RT @BeninCitizen: Socialism: your mum does the washing. You do the cooking. Everyone is theoretically happy.,2015-10-25 05:40:25+00:00,socialism your mum does the washing you do the cooking everyone is theoretically happy,0.8,1.0,positive,0.0,0.778,0.222,0.5719,1,Modi
29,@naa_two,657385418120409088,"RT @EngineeRoholic: Girl : I love you.
Sehwag : I love you four.",2015-10-23 02:37:51+00:00,girl i love you sehwag i love you four,0.5,0.6,positive,0.0,0.373,0.627,0.8555,0,Cricket
30,@naa_two,657046460593147905,RT @Trendulkar: Ravan sacrificed his life so we all could get a holiday today. Respect.,2015-10-22 04:10:58+00:00,ravan sacrificed his life so we all could get a holiday today respect,0.0,0.0,positive,0.0,0.633,0.367,0.7003,2,Opposition
31,@naa_two,650627343808000000,RT @ScoopWhoop: This hilarious @MTVIndia video shows how #AnuMalik creates his ‘original’ #songs: http://t.co/IErDfHdnnZ http://t.co/85MR4O…,2015-10-04 11:03:41+00:00,this hilarious video shows how anumalik creates his original songs,0.4375,0.875,positive,0.0,0.496,0.504,0.7269,1,Modi
32,@naa_two,639639550155882496,"RT @TimesNow: The ' invincible phone' , Nokia 3310, celebrates 15 years since its launch http://t.co/tpMvY1YYk7",2015-09-04 03:22:07+00:00,the invincible phone nokia 3310 celebrates 15 years since its launch,0.0,0.0,positive,0.0,0.566,0.434,0.7845,0,Cricket
33,@naa_two,637229800009039872,RT @ArvindKejriwal: Congrats. NDMC jst now decided to rename Aurangzeb Road to APJ Abdul Kalam Road,2015-08-28 11:46:38+00:00,congrats ndmc jst now decided to rename aurangzeb road to apj abdul kalam road,0.0,0.0,positive,0.0,0.793,0.207,0.5267,0,Cricket
34,@naa_two,636762415397404672,"RT @YRDeshmukh: Replugging without comments :)) ""@VishalDadlani: Rumourmongers, pl. note: Neither AK nor AAP is supporting any party or can…",2015-08-27 04:49:24+00:00,replugging without comments rumourmongers pl note neither ak nor aap is supporting any party or can,0.25,0.25,positive,0.126,0.733,0.141,0.0757,1,Modi
35,@naa_two,636761168581799936,RT @EconomicTimes: Elephant vs Dragon: Why #India's economy is in a better shape than #China http://t.co/Oa6Sy5fsnK http://t.co/LjzIj0QkQh,2015-08-27 04:44:27+00:00,elephant vs dragon why india s economy is in a better shape than china,0.5,0.5,positive,0.0,0.791,0.209,0.4404,2,Opposition
36,@naa_two,636723260659531776,"(Read: I'm a chutiya)

RT @sardesairajdeep: Hardik Patel tells me: Cong says I am a BJP man, BJP says I am a Cong/AAP supporter.",2015-08-27 02:13:49+00:00,read i m a chutiya hardik patel tells me cong says i am a bjp man bjp says i am a cong aap supporter,0.0,0.0,positive,0.0,0.884,0.116,0.2732,1,Modi
37,@naa_two,636723260659531776,"(Read: I'm a chutiya)

RT @sardesairajdeep: Hardik Patel tells me: Cong says I am a BJP man, BJP says I am a Cong/AAP supporter.",2015-08-27 02:13:49+00:00,read i m a chutiya hardik patel tells me cong says i am a bjp man bjp says i am a cong aap supporter,0.0,0.0,positive,0.0,0.884,0.116,0.2732,1,Modi
38,@naa_two,633529359643480064,RT @rahulroushan: Gulzar's birthday should be celebrated as World Metaphors Day.,2015-08-18 06:42:24+00:00,gulzar s birthday should be celebrated as world metaphors day,0.35,0.75,positive,0.0,0.684,0.316,0.5719,1,Modi
39,@naa_two,633529328777560064,"RT @vivekagnihotri: ""I proposed World Toilet Day but Congress Govt didn't agree as it was Indira Gandhi's b'day"" - Jack Sim, Toilet Man. ht…",2015-08-18 06:42:17+00:00,i proposed world toilet day but congress govt didn t agree as it was indira gandhi s b day jack sim toilet man ht,-0.03333333333333333,0.0,positive,0.0,0.854,0.146,0.5023,1,Modi
40,@naa_two,632736015682146304,"RT @abdullah_0mar: Mehbooba Mufti : Omar, please tell me those three magical words
Omar : I love Article370
Mehbooba Mufti : Awwwwwwwww htt…",2015-08-16 02:09:56+00:00,mehbooba mufti omar please tell me those three magical words omar i love article370 mehbooba mufti awwwwwwwww htt,0.5,0.8,positive,0.0,0.698,0.302,0.7579,2,Opposition
41,@naa_two,632440218151288832,RT @clutchplay: Perhaps Virat will find out that a five-bowler theory is only possible if you have five top-quality batsmen #INDvsSL,2015-08-15 06:34:32+00:00,perhaps virat will find out that a five bowler theory is only possible if you have five top quality batsmen indvssl,0.16666666666666666,0.8333333333333334,positive,0.0,0.913,0.087,0.2023,2,Opposition
42,@naa_two,632438663742251008,RT @Trendulkar: 69 all out will be a good tribute to the freedom fighters of the nation.,2015-08-15 06:28:22+00:00,69 all out will be a good tribute to the freedom fighters of the nation,0.7,0.6000000000000001,positive,0.062,0.57,0.368,0.7845,1,Modi
43,@naa_two,632438324418875392,RT @indiantweeter: Hail Hitler!!  http://t.co/Ox2THSpUcD,2015-08-15 06:27:01+00:00,hail hitler,0.0,0.0,positive,0.0,0.435,0.565,0.0772,1,Modi
44,@naa_two,632398310033133568,RT @girirajsinghbjp: You heard vision and achievement  of PM and now you'll listen mental bankruptcy of opposition whole day..,2015-08-15 03:48:01+00:00,you heard vision and achievement of pm and now you ll listen mental bankruptcy of opposition whole day,0.05,0.30000000000000004,positive,0.0,0.895,0.105,0.25,1,Modi
45,@naa_two,632396347920936960,Happy Independence Day! #JaiHind,2015-08-15 03:40:13+00:00,happy independence day jaihind,0.8,1.0,positive,0.0,0.448,0.552,0.5719,1,Modi
46,@naa_two,631896398758154240,"RT @akshaykanitkar: Happy Independence Day to:

1. Barkha Dutt
2. Sagarika Ghose
3. Rajdeep Sardesai
4. Rana Ayyub
5. Rega Jha; &amp; yes
6. Pa…",2015-08-13 18:33:36+00:00,happy independence day to 1 barkha dutt 2 sagarika ghose 3 rajdeep sardesai 4 rana ayyub 5 rega jha amp yes 6 pa,0.8,1.0,positive,0.0,0.701,0.299,0.7506,0,Cricket
47,@naa_two,631862838949081088,"RT @i_Psycho: Rahul Gandhi claims that leaked speech note was secretly handed over to him by Sushma Swaraj when she held his hand
http://t.…",2015-08-13 16:20:14+00:00,rahul gandhi claims that leaked speech note was secretly handed over to him by sushma swaraj when she held his hand,-0.4,0.7,positive,0.094,0.776,0.131,0.2263,1,Modi
48,@naa_two,631822152933601280,"RT @KapilSharmaK9: Finally the trailer of ""kis kis ko pyaar karoon"" is out.. Have a look.. Hope u guys will love it http://t.co/1w7hcR9ol7",2015-08-13 13:38:34+00:00,finally the trailer of kis kis ko pyaar karoon is out have a look hope u guys will love it,0.25,0.8,positive,0.0,0.693,0.307,0.7964,0,Cricket
49,@naa_two,630734808310681600,"RT @ScoopWhoop: 31 #hilarious Mata Ji #memes featuring #Bollywood’s favourite mom, Reema Lagoo: http://t.co/Izio4QVsUe http://t.co/M3Y0NHy1…",2015-08-10 13:37:51+00:00,31 hilarious mata ji memes featuring bollywood s favourite mom reema lagoo,0.5,1.0,positive,0.0,0.787,0.213,0.4019,1,Modi
50,@naa_two,630254714257412097,"RT @Sharanyashettyy: Doctors.. ""EUREKA"" moment..movable bandage has been invented by AAPtards,area of trauma/concern moves too..REJOICE!! h…",2015-08-09 05:50:08+00:00,doctors eureka moment movable bandage has been invented by aaptards area of trauma concern moves too rejoice h,0.0,0.0,positive,0.135,0.725,0.14,0.0258,1,Modi
51,@naa_two,630018369995956228,"Members of Parliament, political parties: Parliament to function - urge all political parties t... https://t.co/MBHDcKYgVe via @Change4India",2015-08-08 14:10:59+00:00,members of parliament political parties parliament to function urge all political parties t via,0.0,0.1,positive,0.0,0.671,0.329,0.6597,0,Cricket
52,@naa_two,628177546002067456,RT @UnSubtleDesi: The ones showing solidarity are the same people who stood by and laughed while a BJP MLA was marshalled out. Thugs. http:…,2015-08-03 12:16:12+00:00,the ones showing solidarity are the same people who stood by and laughed while a bjp mla was marshalled out thugs http,0.35,0.1625,positive,0.0,0.785,0.215,0.6369,0,Cricket
53,@naa_two,628160871924011008,"44 aye the, 17 reh gaye! @INCIndia 🙈
Still greater than @OfficeOfRG's IQ squared!",2015-08-03 11:09:57+00:00,44 aye the 17 reh gaye still greater than s iq squared,0.5,0.5,positive,0.0,0.8,0.2,0.3612,2,Opposition
54,@naa_two,626672310246752256,"""A.P.J Abdul Kalam - A Global Solution"" from the YouTube channel Epified. Awesome tribute to the great man! Loved it https://t.co/iG77HCKm8o",2015-07-30 08:34:56+00:00,a p j abdul kalam a global solution from the youtube channel epified awesome tribute to the great man loved it,0.625,0.6375,positive,0.0,0.474,0.526,0.9371,2,Opposition
55,@naa_two,626582559686701061,"RT @coolfunnytshirt: Pranabda must have sent a mercy petition to the petitioners saying ""bhai maaf karo! No more mercy petitions!""",2015-07-30 02:38:18+00:00,pranabda must have sent a mercy petition to the petitioners saying bhai maaf karo no more mercy petitions,-0.25,0.5,positive,0.104,0.66,0.236,0.4215,0,Cricket
56,@naa_two,626000643245805568,RT @kirantare: #Maharashtra Health Department employees to work one hour extra today as a mark of respect to #APJAbdulKalam @NewIndianXpres…,2015-07-28 12:05:58+00:00,maharashtra health department employees to work one hour extra today as a mark of respect to apjabdulkalam,0.0,0.1,positive,0.0,0.829,0.171,0.4767,0,Cricket
57,@naa_two,626000110200078336,RT @Ra_Bies: Blow Yakub Memon with a missile. It may as well be a tribute to the great soul http://t.co/zKmuY4YfAP,2015-07-28 12:03:51+00:00,blow yakub memon with a missile it may as well be a tribute to the great soul,0.8,0.75,positive,0.0,0.677,0.323,0.7351,2,Opposition
58,@naa_two,625725570299510784,"RT @rahulroushan: He had a vision to see India as a developed country by 2020. Only 5 years left, but this message is a hope. https://t.co/…",2015-07-27 17:52:56+00:00,he had a vision to see india as a developed country by 2020 only 5 years left but this message is a hope,0.03333333333333333,0.43333333333333335,positive,0.0,0.761,0.239,0.6542,0,Cricket
59,@naa_two,625725512426504192,RT @Being_JK: Congrats @anushkasharma for getting it right in just 3 attempts..great achievement considering Bollywood standards!,2015-07-27 17:52:42+00:00,congrats for getting it right in just 3 attempts great achievement considering bollywood standards,0.5428571428571429,0.6428571428571428,positive,0.0,0.595,0.405,0.8176,2,Opposition
60,@naa_two,625708181725970432,RT @narendramodi: Dr. Kalam enjoyed being with people; people &amp; youngsters adored him. He loved students &amp; spent his final moments among th…,2015-07-27 16:43:50+00:00,dr kalam enjoyed being with people people amp youngsters adored him he loved students amp spent his final moments among th,0.27499999999999997,0.65,positive,0.0,0.643,0.357,0.875,2,Opposition
61,@naa_two,625708131859869696,"RT @narendramodi: India mourns the loss of a great scientist, a wonderful President &amp; above all an inspiring individual. RIP Dr. APJ Abdul …",2015-07-27 16:43:38+00:00,india mourns the loss of a great scientist a wonderful president amp above all an inspiring individual rip dr apj abdul,0.45999999999999996,0.65,positive,0.188,0.462,0.35,0.7096,2,Opposition
62,@naa_two,625704457234354176,"RT @coolfunnytshirt: Dr APJ Abdul Kalam, the people's President. Probably the only time people of India genuinely loved &amp; respected their P…",2015-07-27 16:29:02+00:00,dr apj abdul kalam the people s president probably the only time people of india genuinely loved amp respected their p,0.35,0.9,positive,0.0,0.708,0.292,0.7906,2,Opposition
63,@naa_two,625703663395143680,"RT @bhogleharsha: So Dr Kalam passed away while speaking to students, to the future of India. Before the end was a happy hour.",2015-07-27 16:25:53+00:00,so dr kalam passed away while speaking to students to the future of india before the end was a happy hour,0.4,0.5625,positive,0.0,0.837,0.163,0.5719,2,Opposition
64,@naa_two,625697775569637376,Still can't believe the what I'm seeing on my Twitter feed. RIP APJ Abdul Kalam. India loses one of her best sons!,2015-07-27 16:02:29+00:00,still can t believe the what i m seeing on my twitter feed rip apj abdul kalam india loses one of her best sons,0.35,0.2,positive,0.09,0.745,0.165,0.4404,2,Opposition
65,@naa_two,624899777444982784,"RT @BhateKetan: 1/1, 1/2, 1/3, 1/4, 1/5, 1/6, 1/7, 1/8  ! The ""genius"" of @ashutosh83B ! Aryabhatt's soul would be weeping ! ROFL ! http://…",2015-07-25 11:11:31+00:00,1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 the genius of aryabhatt s soul would be weeping rofl,0.8,0.9,positive,0.213,0.515,0.272,0.2023,2,Opposition
66,@naa_two,624838473283842048,Sometimes I wonder why have I still stuck with @TataSky @haritnagpal . Local cablewala bhi better service deta tha. #Chutiye,2015-07-25 07:07:55+00:00,sometimes i wonder why have i still stuck with local cablewala bhi better service deta tha chutiye,0.25,0.25,positive,0.112,0.726,0.162,0.2263,1,Modi
67,@naa_two,624805236968783872,RT @KyaUkhaadLega: #MohnishBehl : Bhai gaadi mujhe chalane dena pls... http://t.co/YvyFwqJIAQ,2015-07-25 04:55:51+00:00,mohnishbehl bhai gaadi mujhe chalane dena pls,0.0,0.0,positive,0.0,0.822,0.178,0.0772,0,Cricket
68,@naa_two,613367508418965504,"RT @sankrant: Funny. #INCIndia trolls itself in successive tweets. Public yoga for ""image building"" is only for dynasty. #YogaDay http://t.…",2015-06-23 15:26:24+00:00,funny incindia trolls itself in successive tweets public yoga for image building is only for dynasty yogaday,0.08333333333333333,0.6888888888888888,positive,0.0,0.75,0.25,0.6124,2,Opposition
69,@naa_two,613289162087661568,"RT @brakoo: You ain't no world leader till you get a Namo hug, biatch! #NamastePOTUS http://t.co/q28HFS1HKC",2015-06-23 10:15:05+00:00,you ain t no world leader till you get a namo hug biatch namastepotus,0.0,0.0,positive,0.144,0.654,0.203,0.2263,1,Modi
70,@naa_two,612860529388883968,"That @SjJeet 😂😂😂
Couldn't be put better. http://t.co/w77uG8pGgU",2015-06-22 05:51:51+00:00,that couldn t be put better,0.5,0.5,positive,0.0,0.58,0.42,0.4404,0,Cricket
71,@naa_two,612614776200413184,"@SjJeet @msdhoni Time he left ODI cricket. Once a great captain, now a shadow of his former self. Too much politics, too little substance.",2015-06-21 13:35:19+00:00,time he left odi cricket once a great captain now a shadow of his former self too much politics too little substance,0.1625,0.29,positive,0.0,0.823,0.177,0.6249,1,Modi
72,@naa_two,611800610451513344,"RT @bsindia: Many states, including UP, find Maggi lead-free. Hong Kong okays it too.
http://t.co/U1MOPhzkzZ http://t.co/Ecx48SHRWr",2015-06-19 07:40:06+00:00,many states including up find maggi lead free hong kong okays it too,0.45,0.65,positive,0.0,0.632,0.368,0.7506,1,Modi
73,@naa_two,611742742767493120,Just a week of Monsoon rains and already feels like we're in the middle of July.,2015-06-19 03:50:10+00:00,just a week of monsoon rains and already feels like we re in the middle of july,0.0,0.0,positive,0.0,0.857,0.143,0.3612,1,Modi
74,@naa_two,610010695480926209,RT @rahulkanwal: One channel comparing @SushmaSwaraj to A Raja &amp; Suresh Kalmadi! Over the top took a new definition.,2015-06-14 09:07:37+00:00,one channel comparing to a raja amp suresh kalmadi over the top took a new definition,0.3181818181818182,0.4772727272727273,positive,0.0,0.878,0.122,0.2023,1,Modi
75,@naa_two,608865179518967809,"RT @IndiaFinger: Pic1- Your wife; Matter of 'national interest'

Pic2- My wife; Please respect my privacy http://t.co/dodU6GLOlk",2015-06-11 05:15:45+00:00,pic1 your wife matter of national interest pic2 my wife please respect my privacy,0.0,0.0,positive,0.0,0.513,0.487,0.8176,1,Modi
76,@naa_two,608864425550839808,"The pencil lead had 'lead' in it and not 'graphite'. That'd have led to pencils disappearing faster than Maggi! XD
#WorstChildhoodRumors",2015-06-11 05:12:45+00:00,the pencil lead had lead in it and not graphite that d have led to pencils disappearing faster than maggi xd worstchildhoodrumors,0.0,0.0,positive,0.0,0.84,0.16,0.5859,1,Modi
77,@naa_two,606658095993864192,"Daal mein kala ya kale mein daal.
RT @NewsX: #Nestle withdraws #Maggi noodles, still says safe
http://t.co/oIWB5RFO7H http://t.co/ZrKSu9dtgu",2015-06-05 03:05:35+00:00,daal mein kala ya kale mein daal nestle withdraws maggi noodles still says safe,0.5,0.5,positive,0.0,0.818,0.182,0.4404,1,Modi
78,@naa_two,604255844528574464,"RT @OpIndia_com: Latest: IIT Madras stood against caste-based hatred, but it was made a Freedom and Modi related issue: http://t.co/8oosqZA…",2015-05-29 11:59:54+00:00,latest iit madras stood against caste based hatred but it was made a freedom and modi related issue,0.25,0.65,positive,0.111,0.641,0.248,0.6369,2,Opposition
79,@naa_two,604245531037040642,RT @BabaBakChod: Three usage of Railway tracks in India. 1. To run train.2. To do potty.3. To protest for reservation and special …,2015-05-29 11:18:55+00:00,three usage of railway tracks in india 1 to run train 2 to do potty 3 to protest for reservation and special,0.35714285714285715,0.5714285714285714,positive,0.092,0.783,0.124,0.1779,0,Cricket
80,@naa_two,603982578371055616,"RT @jhunjhunwala: Forget Rahul, check out the expressions of the dudes in the back. Admiration level - DIGVIJAY SINGH http://t.co/M9xpfcMcRT",2015-05-28 17:54:02+00:00,forget rahul check out the expressions of the dudes in the back admiration level digvijay singh,0.0,0.0,positive,0.098,0.722,0.18,0.3818,2,Opposition
81,@naa_two,603831369299447808,RT @madhukishwar: Congress accuses Modi PMO of centralising power. Far better than effete Manmohan PMO while Sonia's unconstitutional NAC g…,2015-05-28 07:53:11+00:00,congress accuses modi pmo of centralising power far better than effete manmohan pmo while sonia s unconstitutional nac g,0.3,0.75,positive,0.118,0.739,0.143,0.128,2,Opposition
82,@naa_two,603830849067319297,"RT @Dev_Fadnavis: My Tributes and Salutations to The Fearless Freedom Fighter, Swatantrya #VeerSavarkar on His Jayanti ! http://t.co/SRLztH…",2015-05-28 07:51:07+00:00,my tributes and salutations to the fearless freedom fighter swatantrya veersavarkar on his jayanti,0.0,0.0,positive,0.0,0.558,0.442,0.8271,0,Cricket
83,@naa_two,603772649316028418,"AAPtard-Congi-Commie-JanataParivar ""grand alliance"" in waiting.

RT @timesofindia: Kejri to write to all non-BJP CMs  http://t.co/4Oa52PgVxo",2015-05-28 03:59:51+00:00,aaptard congi commie janataparivar grand alliance in waiting kejri to write to all non bjp cms,0.5,1.0,positive,0.0,0.833,0.167,0.4588,2,Opposition
84,@naa_two,603771738703273985,@rahulroushan Comes as no surprise is Modi's India. XD,2015-05-28 03:56:14+00:00,comes as no surprise is modi s india xd,0.0,0.0,positive,0.168,0.382,0.45,0.5719,1,Modi
85,@naa_two,603770827427815424,"RT @rahulroushan: Always nice to see journalists, whose entire political ""wisdom"" starts and ends with caste analysis, telling others to th…",2015-05-28 03:52:37+00:00,always nice to see journalists whose entire political wisdom starts and ends with caste analysis telling others to th,0.19999999999999998,0.5750000000000001,positive,0.0,0.733,0.267,0.7351,1,Modi
86,@naa_two,603765818665541632,"@sagarikaghose Lolwa. 😂😂😂
Since MMS has only scams to show, give the credit of Guj boom to MMS. I like how you think. #Scamnesia",2015-05-28 03:32:43+00:00,lolwa since mms has only scams to show give the credit of guj boom to mms i like how you think scamnesia,0.0,1.0,positive,0.141,0.669,0.19,0.0772,0,Cricket
87,@naa_two,603764948339007490,"RT @jgopikrishnan70: When you opt such names, you will get these kind. PM is right https://t.co/M6ikmRLJp3",2015-05-28 03:29:15+00:00,when you opt such names you will get these kind pm is right,0.29523809523809524,0.6452380952380952,positive,0.0,0.779,0.221,0.5267,1,Modi
